pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_bmassj,pl_radj,pl_eqt,st_teff,st_rad,st_mass,sy_dist
"EPIC 212297394 c","EPIC 212297394","Transit",2021,5.21396500000,,,0.20251618,866.00,5171.00,0.800000,0.830000,418.39500000
"TOI-4010 b","TOI-4010","Transit",2023,1.34833500000,0.0229000000,0.03460987,0.26942682,1441.00,4960.00,0.830000,0.880000,177.50400000
"nu Oph b","nu Oph","Radial Velocity",2012,529.93000000000,1.7650000000,21.54800000,,,4887.00,12.240000,2.610000,46.21070000
"TOI-2384 b","TOI-2384","Transit",2024,2.13570304000,0.0279300000,1.96600000,1.02500000,889.70,3943.00,0.611300,0.635000,191.51000000
"HAT-P-28 b","HAT-P-28","Transit",2011,3.25721500000,0.0434000000,0.62600000,1.21200000,1384.00,5680.00,1.103000,1.025000,401.31900000
"TOI-7510 d","TOI-7510","Transit",2025,48.86446800000,0.2672000000,0.59700000,0.93900000,542.40,5720.00,1.035000,1.063000,249.00600000
"TOI-1174 b","TOI-1174","Transit",2024,8.95348768300,0.0799400000,,0.22856672,,5030.00,0.760000,0.850000,94.63750000
"HD 72659 b","HD 72659","Radial Velocity",2002,3549.00000000000,4.6070000000,2.85100000,,,5929.00,1.360000,1.033000,51.89490000
"TOI-4641 b","TOI-4641","Transit",2023,22.09341000000,0.1730000000,3.87000000,0.73000000,,6560.00,1.720000,1.410000,86.35010000
"TOI-1136 f","TOI-1136","Transit",2022,26.32100000000,0.1740000000,0.03051961,,658.00,5770.00,0.968000,1.022000,84.53620000
"xi Aql b","xi Aql","Radial Velocity",2007,136.97000000000,0.6250000000,1.94100000,,,4841.00,10.860000,1.740000,56.18580000
"Kepler-1978 b","Kepler-1978","Transit",2023,10.84969477000,0.0914000000,,0.23820186,676.00,5251.00,0.778000,0.869000,865.51200000
"KOI-1257 b","KOI-1257","Transit",2014,86.64766100000,0.3820000000,1.45000000,0.94000000,511.00,5520.00,1.130000,0.990000,
"Kepler-634 b","Kepler-634","Transit",2016,5.16950177000,,,0.16861451,,6075.00,1.240000,1.030000,888.02700000
"Kepler-684 b","Kepler-684","Transit",2016,6.77030200800,,,0.29975912,,5493.00,0.860000,0.890000,1731.27000000
"Kepler-393 b","Kepler-393","Transit",2014,9.18241700000,0.0910000000,,0.11500000,,6189.00,1.382000,,881.40400000
"KMT-2018-BLG-1976L b","KMT-2018-BLG-1976L","Microlensing",2021,,3.5400000000,2.22000000,,,,,0.650000,5840.00000000
"HD 331093 b","HD 331093","Radial Velocity",2021,621.62000000000,1.4400000000,1.50000000,,,5544.00,,1.030000,50.19280000
"MOA-2012-BLG-505L b","MOA-2012-BLG-505L","Microlensing",2017,,0.9000000000,0.02110000,,,,,0.100000,7210.00000000
"Kepler-690 b","Kepler-690","Transit",2016,7.74809437400,,,0.53082345,,5913.00,1.160000,1.110000,1665.31000000
"HD 202206 c","HD 202206","Radial Velocity",2004,1260.00000000000,2.4100000000,17.90000000,,,5766.00,1.040000,1.070000,45.96650000
"TOI-1248 b","TOI-1248","Transit",2024,4.36015610000,0.0510000000,0.08621004,0.60741347,952.09,5205.00,0.868600,0.904200,168.73500000
"Kepler-1898 b","Kepler-1898","Transit",2021,4.76562023200,,,0.08328458,,5702.00,1.125000,0.837000,360.92100000
"K2-240 b","K2-240","Transit",2018,6.03400000000,0.0513000000,,0.17842805,586.00,3810.00,0.540000,0.580000,72.91050000
"Kepler-1886 b","Kepler-1886","Transit",2021,24.27580070000,,,0.23031392,,5745.00,0.837000,0.928000,1059.51000000
"K2-24 c","K2-24","Transit",2016,42.33910000000,,0.04845358,0.66910518,,5625.00,1.160000,1.070000,170.56200000
"Kepler-1576 b","Kepler-1576","Transit",2016,6.98471973000,,,0.09278259,,5876.00,1.060000,1.050000,460.91000000
"Kepler-55 e","Kepler-55","Transit",2014,4.61753400000,0.0480000000,,0.13800000,,4503.00,0.619000,,578.79600000
"Kepler-31 d","Kepler-31","Transit",2014,87.64510000000,0.4000000000,6.80000000,0.34793470,,6340.00,1.220000,1.210000,1664.64000000
"Kepler-607 c","Kepler-607","Transit",2021,39.67679977000,,,0.24623220,,5244.00,0.888000,0.808000,519.12200000
"Kepler-1284 b","Kepler-1284","Transit",2016,0.66407380600,,,0.10794897,,5123.00,0.790000,0.840000,882.32400000
